gobmk_trial1,,,,,,,,,,,,,,,,,"4TDM vs 3(Ge, Gr)","4Gr vs 3(TDM, Ge)","4Ge vs 3(TDM, Gr)"
GREEDY,1,1.045676793,1.017519574,1.001990428,1.009355086,1.064770564,1.047801269,1.019545709,1.055861022,1.027155337,1.011367489,1.066919236,1.075249283,1.057970167,1.029220633,1.07743878,0,0,0
GENETIC,1,1.042197592,1.016227305,1.001843498,1.008659179,1.059266443,1.0436832,1.017952738,1.05099835,1.024915151,1.010425757,1.060537959,1.067986111,1.052616569,1.026551247,1.069430638,0,0,0
,,,,,,,,,,,,,,,,,,,
soplex_trial1,,,,,,,,,,,,,,,,,,,
TDM,1,1.047030242,1.019012948,1,1.011180125,1.067886992,1.047030282,1.01901162,1.059292,1.030621816,1.011179883,1.067888051,1.080646511,1.059290394,1.03062175,1.080643988,0.97038611,0.991801765,1.008147925
GREEDY,1,1.060415258,1.024235634,1,1.014222667,1.087687833,1.060386247,1.024230538,1.076406062,1.039154845,1.014219981,1.087688182,1.104514957,1.076401832,1.039154993,1.104492947,0,0,0
GENETIC,1,1.06568143,1.026266124,1,1.015382468,1.095307142,1.065515522,1.026203284,1.082964545,1.042390878,1.015375384,1.09523847,1.113622688,1.082991164,1.042369073,1.113514462,0,0,0
,,,,,,,,,,,,,,,,,,,
soplex_trial2_1,,,,,,,,,,,,,,,,,,,
TDM,1,1.035882586,1.014595356,1,1.008601655,1.051547919,1.035874367,1.01459263,1.045096822,1.023449767,1.00859835,1.051538324,1.061044467,1.045110957,1.023445214,1.061069333,1.004891922,0.994948869,0.974681929
GREEDY,1,1.03313266,1.013508462,1,1.007960048,1.04735118,1.03302118,1.013460876,1.041515507,1.021589064,1.007935524,1.047238069,1.055903933,1.041315701,1.02153254,1.055684992,0,0,0
GENETIC,1,1.021902025,1.008965792,1,1.005300537,1.030523359,1.02142658,1.008764,1.026735714,1.014084487,1.005178933,1.029787838,1.035163321,1.02607462,1.01364133,1.034180868,0,0,0
,,,,,,,,,,,,,,,,,,,
namd_trial1,,,,,,,,,,,,,,,,,,,
TDM,1,1.042686972,1.023434866,1.004180959,1.008396471,1.068189019,1.047232653,1.027814503,1.051817322,1.032230326,1.012647729,1.07296266,1.07777759,1.056447162,1.03668503,1.082636781,0.973947269,0.996458027,1.015896947
GREEDY,1,1.055007849,1.030042356,1.005331936,1.010719171,1.088501903,1.060941541,1.035696677,1.066942938,1.041415548,1.0161643,1.094814942,1.101205038,1.073014258,1.04719556,1.10765967,0,0,0
GENETIC,1,1.060529122,1.03297907,1.005837424,1.011741714,1.097640589,1.067005379,1.0391719,1.073691374,1.045481139,1.017698486,1.104538805,1.111596916,1.080276336,1.051767145,1.118710836,0,0,0
,,,,,,,,,,,,,,,,,,,
namd_trial2_1,,,,,,,,,,,,,,,,,,,
TDM,1,1.028876511,1.015945153,1.002860563,1.005740872,1.045770877,1.031909766,1.018905068,1.034963203,1.021880189,1.008637014,1.04891341,1.052073123,1.038028521,1.024873999,1.055226929,1.008908592,0.996590889,0.983665984
GREEDY,1,1.025732658,1.014224935,1.002554802,1.005124509,1.040576826,1.028310438,1.016790406,1.030994418,1.019409681,1.007678215,1.043089951,1.045909349,1.033585793,1.021989539,1.04848649,0,0,0
